,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
1890,Arsenal,Wigan,64,43,29,48,64,51,W,W,D,L,L,W,17,7,13,21,12,4,7,10,0,1,6,3,3,8,2,19,38,H
6203,Man United,Brighton,27,13,6,13,26,16,W,L,W,D,W,D,16,10,9,5,7,2,3,2,0,0,11,7,6,7,6,19,13,H
1187,Tottenham,Norwich,4,5,2,9,8,2,W,D,W,L,D,L,6,12,5,13,3,6,5,5,0,0,2,5,4,6,13,19,5,D
6200,West Ham,Leicester,11,16,25,18,9,13,L,L,D,L,D,W,10,6,2,14,6,1,0,4,0,0,1,2,1,10,11,12,13,D
1449,Blackburn,Southampton,25,33,37,45,32,27,L,D,W,W,W,D,9,5,12,9,2,2,7,4,0,0,4,3,6,4,15,12,31,H
408,Man City,Everton,1,3,3,2,3,4,W,L,M,W,D,M,20,18,11,13,12,10,5,9,0,0,6,7,4,10,19,15,3,H
6647,Tottenham,Bournemouth,37,27,18,28,42,26,W,W,W,W,L,L,17,15,14,13,8,3,3,3,0,0,1,8,6,3,3,11,19,H
3315,Wolves,Man United,21,63,45,24,24,57,L,L,W,L,D,W,6,11,11,12,4,7,5,6,0,0,11,1,12,7,19,1,28,A
3620,Blackpool,Birmingham,29,20,33,25,28,22,W,L,L,W,L,D,13,19,11,2,9,13,7,1,0,0,3,3,7,4,19,10,21,A
2563,Tottenham,West Ham,53,31,45,31,35,40,W,L,W,L,L,W,18,19,2,9,11,10,2,7,0,0,8,6,3,6,5,15,29,H
5021,Southampton,Stoke,19,8,5,9,16,11,W,L,W,W,L,W,20,7,17,11,11,3,3,5,0,0,5,5,3,4,8,9,9,H
2728,West Ham,Bolton,13,5,10,9,12,4,W,W,L,L,L,L,16,12,10,12,10,6,5,8,0,0,4,2,4,7,10,16,7,A
2802,Sunderland,Bolton,12,14,20,16,15,17,L,W,L,W,L,W,17,10,11,15,6,6,5,9,0,0,4,9,0,7,15,16,15,A
6600,Bournemouth,Huddersfield,23,9,21,24,20,10,L,L,L,L,W,D,4,11,7,14,1,5,2,6,0,1,4,5,2,5,11,16,15,H
384,Leeds,Man City,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1,H
3882,Newcastle,Wigan,11,6,6,14,16,5,D,W,W,L,L,L,12,10,13,14,7,6,9,9,0,0,5,5,5,10,13,16,9,H
1167,West Brom,Tottenham,2,2,2,1,2,4,D,D,M,W,D,M,14,4,15,14,5,2,8,7,0,0,12,5,3,3,19,13,3,D
2705,Hull,Everton,5,7,8,9,7,6,W,L,D,W,L,W,8,10,8,16,4,5,5,7,0,0,3,7,8,4,19,5,5,D
5274,West Brom,Liverpool,32,47,46,36,36,58,W,L,L,D,W,L,8,8,22,14,4,5,5,6,0,0,6,4,4,6,17,2,34,D
4276,Liverpool,Newcastle,12,11,14,13,10,13,D,W,D,W,D,L,12,23,10,10,5,13,6,7,0,0,5,6,6,4,9,5,10,D
4223,West Ham,Sunderland,4,4,3,4,7,4,D,W,L,D,D,D,9,17,4,6,4,12,2,4,0,0,5,6,1,2,19,14,5,D
857,Wolves,Leicester,3,11,18,17,6,5,D,W,D,L,L,L,14,8,22,8,6,4,15,4,0,0,11,3,5,4,19,19,10,H
2352,Sunderland,Blackburn,7,7,11,5,8,12,D,W,L,W,L,D,11,14,14,9,6,8,8,3,0,0,2,9,2,7,19,10,8,A
2749,Newcastle,West Brom,9,7,15,11,6,10,D,D,L,L,W,W,6,11,6,13,2,9,2,8,1,0,5,5,1,8,12,19,9,H
1704,Aston Villa,Arsenal,20,27,26,15,20,32,W,L,D,W,W,L,12,11,6,18,7,7,4,11,0,0,4,2,3,10,10,2,19,D
3608,Liverpool,Wolves,21,19,23,32,22,15,L,L,W,L,W,L,9,16,8,14,5,7,4,9,0,0,2,5,7,7,7,15,19,A
4059,Blackburn,Aston Villa,37,29,56,34,21,28,W,L,L,L,L,D,7,3,9,13,5,3,5,8,0,0,5,1,5,4,15,9,26,D
4378,Man City,Stoke,34,18,16,14,39,28,L,W,W,W,D,D,19,17,7,4,12,10,6,2,0,0,7,12,6,4,1,13,20,H
5294,Newcastle,West Brom,36,33,60,46,35,40,L,L,L,W,D,W,12,12,6,10,3,4,3,4,2,0,7,9,3,2,10,17,36,D
