,Date,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
124,2001-11-24,Chelsea,Blackburn,16,20,11,15,19,17,D,W,D,W,D,D,14,15,6,12,7,6,5,3,0,0,4,5,4,7,6,19,13,D
125,2001-11-24,Leicester,Everton,7,18,23,17,9,16,W,D,L,D,D,L,9,10,12,11,5,5,4,6,0,0,7,1,8,3,13,15,13,D
126,2001-11-24,Newcastle,Derby,22,10,17,22,20,10,L,W,W,W,L,D,7,17,9,6,1,7,3,4,0,0,4,13,7,4,11,16,13,H
127,2001-11-24,Southampton,Charlton,10,16,22,17,7,14,L,L,L,D,W,L,8,16,18,9,4,6,9,4,0,0,6,10,13,6,10,9,13,H
128,2001-11-24,West Ham,Tottenham,16,19,25,17,15,17,D,L,W,L,W,W,11,12,11,10,7,6,4,4,0,0,4,10,3,8,17,12,13,A
129,2001-11-25,Arsenal,Man United,25,30,14,20,20,21,D,L,D,W,L,D,5,26,14,10,5,12,7,3,0,0,6,4,10,1,2,1,13,H
130,2001-11-25,Leeds,Aston Villa,16,18,8,12,24,23,D,L,W,D,D,L,16,12,15,8,9,6,8,5,1,0,7,3,6,5,4,8,14,D
131,2001-11-25,Liverpool,Sunderland,23,12,11,14,29,16,W,W,D,W,L,D,7,7,12,11,5,3,5,4,0,0,9,4,5,7,3,7,14,H
132,2001-11-25,Middlesbrough,Ipswich,16,14,20,22,15,8,D,W,L,L,L,L,11,11,8,7,2,7,4,3,0,0,3,6,12,6,14,5,14,D
133,2001-12-01,Aston Villa,Leicester,18,7,12,25,23,9,D,D,L,L,W,D,15,8,8,9,8,5,4,5,0,0,6,5,4,7,8,13,14,A
134,2001-12-01,Blackburn,Middlesbrough,21,16,16,20,18,15,D,W,D,D,W,L,5,6,11,11,5,5,2,7,0,0,6,4,3,6,19,14,14,A
135,2001-12-01,Charlton,Newcastle,16,23,18,17,14,23,L,D,W,W,L,W,7,18,17,7,4,9,10,1,0,0,5,13,8,4,9,11,14,D
136,2001-12-01,Derby,Liverpool,10,23,23,11,10,29,L,W,L,W,W,D,8,9,7,7,4,3,5,3,0,0,6,7,9,4,16,3,14,A
137,2001-12-01,Ipswich,Arsenal,14,28,22,15,8,23,L,L,L,W,D,L,8,7,14,5,4,3,10,5,0,0,12,6,11,6,5,2,14,A
138,2001-12-01,Man United,Chelsea,31,16,23,11,21,20,L,W,L,D,D,W,2,14,14,14,1,7,8,7,0,0,2,10,7,4,1,6,14,A
139,2001-12-01,Sunderland,West Ham,12,16,14,26,16,15,W,L,D,L,D,L,12,11,10,11,5,4,6,7,0,0,5,7,4,4,7,17,14,H
140,2001-12-02,Everton,Southampton,20,11,17,24,20,10,W,D,D,L,W,L,13,8,10,15,7,3,4,8,0,0,5,2,6,10,15,10,15,H
141,2001-12-02,Fulham,Leeds,15,16,13,8,19,25,D,D,W,D,D,L,13,7,6,16,5,1,5,9,0,0,5,3,5,7,19,4,15,D
142,2001-12-03,Tottenham,Bolton,21,18,18,17,21,20,W,D,L,D,W,D,10,9,11,10,3,4,5,5,0,0,2,9,2,2,12,19,15,H
143,2001-12-05,Chelsea,Charlton,19,17,11,19,23,15,W,D,D,D,L,D,14,14,15,7,5,8,7,4,0,0,2,7,3,5,6,9,15,A
144,2001-12-05,West Ham,Aston Villa,16,18,27,14,15,23,L,L,D,L,D,D,10,10,11,15,5,6,7,8,0,1,3,4,7,6,17,8,15,D
145,2001-12-08,Charlton,Tottenham,17,21,19,18,15,21,D,L,D,W,D,L,15,7,10,9,7,4,3,4,0,0,3,5,2,9,9,12,15,H
146,2001-12-08,Derby,Bolton,10,18,24,17,10,20,L,L,W,D,W,D,12,8,11,10,4,4,5,5,0,0,5,6,2,2,16,19,15,H
147,2001-12-08,Fulham,Everton,15,20,13,17,19,20,D,D,W,W,D,D,13,7,13,8,5,1,7,3,0,0,5,3,5,2,19,15,15,H
148,2001-12-08,Leicester,Southampton,7,11,25,24,10,10,D,L,W,L,W,L,8,8,10,15,7,4,4,8,0,0,7,4,6,10,13,10,15,A
149,2001-12-08,Liverpool,Middlesbrough,25,16,11,20,32,16,W,W,W,D,D,W,8,7,9,11,5,5,4,2,0,0,4,9,3,3,3,14,15,H
150,2001-12-08,Man United,West Ham,31,17,27,28,21,16,L,L,L,D,L,L,17,12,14,10,6,5,8,5,0,0,12,7,5,3,1,17,16,A
151,2001-12-09,Arsenal,Aston Villa,33,19,17,15,29,24,W,W,W,D,L,D,15,7,12,11,8,3,5,7,0,0,9,5,6,7,2,8,16,H
152,2001-12-09,Blackburn,Leeds,21,18,17,9,19,28,L,D,D,W,D,D,14,8,10,6,4,2,7,5,0,0,7,3,7,5,19,4,16,A
153,2001-12-09,Ipswich,Newcastle,14,25,24,18,9,27,L,D,L,W,D,W,7,11,7,12,2,3,5,6,0,0,12,5,2,7,5,11,16,A
154,2001-12-09,Sunderland,Chelsea,13,19,15,12,19,23,W,L,W,L,W,D,15,12,20,14,6,5,5,5,0,0,3,3,8,2,7,6,16,D
155,2001-12-12,Liverpool,Fulham,25,17,11,13,33,22,D,W,W,W,D,D,16,8,10,13,7,5,4,5,0,1,7,4,6,5,3,19,16,D
156,2001-12-12,Man United,Derby,31,11,27,24,21,13,L,L,L,W,L,L,17,12,16,12,6,5,6,4,0,0,12,7,5,5,1,16,16,H
157,2001-12-15,Bolton,Charlton,20,18,20,19,20,18,L,D,W,W,D,L,9,11,11,15,6,5,5,7,0,0,6,2,1,3,19,9,16,D
